id	shift
S001	-1.696567118028483
S002	3.545428566997387
S003	2.204774857751673
S004	6.207284187963694
S005	0.452470511291736
S006	-0.7702228964167404
S007	-4.17989896908864
S008	0.33404424270602817
S009	-2.8562436781393217
S010	-9.668951855353683
S011	-2.347238151282113
S012	-1.7283746138392502
S013	-0.256011357392822
S014	-0.5996600240833203
S015	1.902197337251053
S016	-2.6850713718748835
S017	-2.7160983159093632
S018	2.1801786036752873
S019	0.8775337148163231
S020	-11.302057222785251
S021	-2.1479048957915268
S022	-4.814575870528287
S023	-6.863952925984577
S024	2.0251675933392335
S025	-3.5674148602413283
S026	-6.7422327221371035
S027	-1.3108452381739397
S028	10.278687305451896
S029	0.6579694471111992
S030	-0.5711742350974447
S031	-0.4988520817955333
S032	2.144474231229495
S033	-4.0009531841146355
S034	-2.98034082240558
S035	-1.9579091603399092
S036	-5.193724688159264
S037	0.7766450688840649
S038	-0.23785228422455873
S039	-3.425071343517587
S040	0.9565644359005745
S041	-2.609798755354518
S042	-11.921270451123561
S043	-4.905854095913014
S044	-5.284606363325722
S045	-4.55726727313197
S046	-1.9863387451454457
S047	-1.6702835479840559
S048	0.5255331303395536
S049	0.7958011692123108
S050	-5.619965796558503
S051	-1.251648579463506
S052	-13.402814521225636
S053	1.5825646562277313
S054	-7.278398265254779
S055	3.714161867550146
S056	1.141999683680524
S057	-2.354727939205233
S058	0.2076019538473446
S059	1.3128374112737475
S060	3.340287308939409
S061	-0.5359701775715422
S062	-3.3123566774394106
S063	-6.850466885467824
S064	4.6331177007025985
S065	1.9766842867025645
S066	-2.4250988327784597
S067	2.001179220221232
S068	-3.2947585895164195
S069	-5.1343155674948235
S070	-7.209568313709539
S071	-3.5751573132770886
S072	3.2030974665046728
S073	4.783443991360784
S074	3.2265210743179153
S075	-3.860084949073851
S076	0.9798314518728262
S077	-8.19133184759896
S078	-0.8607727668792791
S079	-0.06982530538009257
S080	5.302404396130115
S081	-1.7894879285134806
S082	0.8788442086582506
S083	-10.500728660492257
S084	-2.4866936248734675
S085	-7.288103271465616
S086	-5.362441830953529
S087	2.1751044029709163
S088	-9.126720805137523
S089	-3.0111388594702504
S090	-3.1856258508010313
S091	0.862621494877331
S092	-4.447508647342389
S093	-4.813855767897039
S094	11.118903278951493
S095	-0.7067193841575801
S096	-1.975137724084405
S097	2.4283035724890993
S098	-1.9944430940326896
S099	-1.00863184959519
S100	-0.6455835552580282
